"Udledning af drivhusgasser efter enhed, kilde, branche, type,"
" ";" ";" ";" ";" ";"Albertslund";115;194;133;34;43;50;21;25;31;21;30;22
" ";" ";" ";" ";" ";"Hvidovre";370;603;1926;1708;1711;1411;2024;1582;1616;1077;1552;1253
" ";" ";" ";" ";" ";"Høje-Taastrup";2177;1995;1928;1636;236;292;545;307;341;354;339;323
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";330;351;302;240;288;239;230;211;226;195;207;192
" ";" ";" ";" ";" ";"Rødovre";51;49;45;39;39;35;35;36;34;33;34;31
" ";" ";" ";" ";" ";"Ishøj";42;38;37;34;45;32;26;777;22;22;26;21
" ";" ";" ";" ";" ";"Tårnby";91;77;79;62;62;56;55;61;57;56;55;48
" ";" ";" ";" ";" ";"Vallensbæk";16;16;15;13;13;12;13;13;12;15;14;12
" ";" ";" ";" ";" ";"Furesø";104;107;82;88;89;91;67;63;127;108;114;103
" ";" ";" ";" ";" ";"Allerød";220;150;159;108;162;111;75;521;573;558;519;505
" ";" ";" ";" ";" ";"Fredensborg";402;410;436;398;405;308;179;177;188;200;204;195
" ";" ";" ";" ";" ";"Helsingør";752;829;732;615;608;582;635;512;487;454;537;471
" ";" ";" ";" ";" ";"Hillerød";913;936;873;869;828;721;624;628;516;566;635;571
" ";" ";" ";" ";" ";"Hørsholm";1385;1359;1246;1208;1112;1209;1273;1071;1089;1050;987;964
" ";" ";" ";" ";" ";"Rudersdal";209;205;194;182;170;162;153;160;147;138;171;141
" ";" ";" ";" ";" ";"Egedal";282;286;314;298;307;294;196;349;236;330;306;287
" ";" ";" ";" ";" ";"Frederikssund";1839;1737;1912;1149;854;547;762;925;1037;1044;1018;974
" ";" ";" ";" ";" ";"Greve";412;453;343;300;322;304;250;237;312;273;281;266
" ";" ";" ";" ";" ";"Køge";630;557;639;520;465;451;364;421;418;423;435;406
" ";" ";" ";" ";" ";"Halsnæs";240;200;194;235;224;197;367;263;536;373;468;453
" ";" ";" ";" ";" ";"Roskilde";2577;2465;2210;1820;1548;1384;1438;1284;1761;1686;1650;1583
" ";" ";" ";" ";" ";"Solrød";52;49;44;54;39;44;36;42;43;46;41;40
" ";" ";" ";" ";" ";"Gribskov";661;707;534;650;636;706;570;617;520;738;643;620
" ";" ";" ";" ";" ";"Odsherred";884;977;1007;955;820;913;689;906;1420;786;1091;1072
" ";" ";" ";" ";" ";"Holbæk";2223;2472;2454;1888;1969;1783;1734;1274;1398;1405;1418;1387
" ";" ";" ";" ";" ";"Faxe";773;661;644;605;638;595;409;646;449;529;518;503
" ";" ";" ";" ";" ";"Kalundborg";5303;5225;5164;3864;4309;4465;5051;5070;5213;4752;4606;4464
" ";" ";" ";" ";" ";"Ringsted";583;604;930;639;455;583;909;553;239;704;507;486
" ";" ";" ";" ";" ";"Slagelse";2632;2909;3221;3600;3486;3524;3865;2727;2698;2247;2403;2343
" ";" ";" ";" ";" ";"Stevns";521;483;569;511;382;356;298;367;189;314;289;275
" ";" ";" ";" ";" ";"Sorø";776;728;944;717;766;632;518;497;406;570;498;490
" ";" ";" ";" ";" ";"Lejre";390;305;342;1354;542;536;725;2632;1019;1007;963;938
" ";" ";" ";" ";" ";"Lolland";1129;1024;757;1524;1496;1496;1523;1627;1557;1328;1371;1343
" ";" ";" ";" ";" ";"Næstved";3214;2860;2867;3061;2934;2676;2608;2400;2755;2746;2602;2536
" ";" ";" ";" ";" ";"Guldborgsund";3485;3468;3544;3470;3228;2891;2969;3011;3506;3356;3317;3262
" ";" ";" ";" ";" ";"Vordingborg";1539;1495;1610;1595;1599;1430;1899;1356;622;1351;1118;1106
" ";" ";" ";" ";" ";"Bornholm";2701;2634;2675;1660;1669;1766;1617;1842;1624;1879;1807;1794
" ";" ";" ";" ";" ";"Middelfart";2263;2385;1899;2794;2989;2820;2205;2128;1926;1238;1632;1611
" ";" ";" ";" ";" ";"Assens";2234;2169;2320;2023;2198;1962;1935;2312;3157;2131;2448;2418
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";3769;3970;3774;3603;3807;3122;2855;3044;3494;2282;2968;2929
" ";" ";" ";" ";" ";"Kerteminde";540;539;380;449;414;379;502;332;119;392;270;260
" ";" ";" ";" ";" ";"Nyborg";6524;6194;6399;6125;5631;5289;4927;4815;5331;5374;5038;4946
" ";" ";" ";" ";" ";"Odense";3258;3131;2710;2012;1528;1166;817;894;605;832;836;784
" ";" ";" ";" ";" ";"Svendborg";1787;1973;1534;1762;1856;1827;2421;2112;1318;1793;1715;1696
" ";" ";" ";" ";" ";"Nordfyns";2027;1845;1994;1979;1802;1690;1809;1630;1664;1968;1788;1761
" ";" ";" ";" ";" ";"Langeland";905;898;652;939;651;801;630;697;1179;807;903;901
" ";" ";" ";" ";" ";"Ærø";735;778;766;711;536;633;558;545;92;663;442;439
" ";" ";" ";" ";" ";"Haderslev";7285;7137;7364;6028;5469;5676;4799;5030;5805;4602;5217;5163
" ";" ";" ";" ";" ";"Billund";2849;2440;2676;2788;2585;2866;2974;2844;1443;2423;2262;2231
" ";" ";" ";" ";" ";"Sønderborg";2767;2492;2284;2405;2080;1997;1950;1434;1265;1355;1383;1330
" ";" ";" ";" ";" ";"Tønder";11554;12733;13180;12119;12369;13166;12798;13114;13148;12377;12831;12749
" ";" ";" ";" ";" ";"Esbjerg";7591;7911;7963;8046;8428;8492;8797;9179;8455;9223;8970;8907
" ";" ";" ";" ";" ";"Fanø";64;205;124;92;55;84;120;28;141;47;73;72
" ";" ";" ";" ";" ";"Varde";11411;12432;11731;12245;12514;12825;13345;13846;14282;13937;14041;14090
" ";" ";" ";" ";" ";"Vejen";7641;7590;7721;8296;8454;8384;7982;8847;8420;9667;9016;8953
" ";" ";" ";" ";" ";"Aabenraa";7681;7820;7640;8610;8781;8674;8083;8829;8447;9539;9150;9069
" ";" ";" ";" ";" ";"Fredericia";3352;3568;3409;4429;4887;4450;5256;4228;4719;4632;4605;4130
" ";" ";" ";" ";" ";"Horsens";4437;4371;3977;4126;2379;2333;2095;2163;2217;2657;2421;2362
" ";" ";" ";" ";" ";"Kolding";4458;4357;4306;4053;3869;3656;4096;4045;3376;3244;3278;3220
" ";" ";" ";" ";" ";"Vejle";5047;5884;4823;4899;5379;4997;4797;4911;5437;4654;5065;5012
" ";" ";" ";" ";" ";"Herning";8633;8946;7740;8874;7747;7813;7994;8461;7925;7966;8250;8200
" ";" ";" ";" ";" ";"Holstebro";5317;6041;5848;5304;5434;5564;5562;5211;6239;6375;6047;5997
" ";" ";" ";" ";" ";"Lemvig";4268;4032;4124;4503;4171;4329;4703;4122;5326;3914;4509;4466
" ";" ";" ";" ";" ";"Struer";1566;1282;2074;1546;1062;1450;1140;1323;816;1570;1260;1244
" ";" ";" ";" ";" ";"Syddjurs";2010;1675;1957;2098;1990;1996;1677;1898;1847;1720;1842;1822
" ";" ";" ";" ";" ";"Norddjurs";3689;3489;2440;2795;3694;3409;3704;3363;3377;3949;3544;3501
" ";" ";" ";" ";" ";"Favrskov";2244;1734;2049;2028;2006;1721;1862;1998;1236;1204;1278;1251
" ";" ";" ";" ";" ";"Odder";681;576;649;508;295;422;529;430;265;316;337;326
" ";" ";" ";" ";" ";"Randers";3094;3109;3434;2916;2974;2773;2693;2939;3403;2641;2989;2937
" ";" ";" ";" ";" ";"Silkeborg";4699;4689;5661;4636;4336;4331;4905;4394;5357;4282;4859;4760
" ";" ";" ";" ";" ";"Samsø";314;345;363;367;292;286;294;320;227;293;283;281
" ";" ";" ";" ";" ";"Skanderborg";1613;3497;2545;2673;2330;2287;2326;3044;3021;2123;2445;2413
" ";" ";" ";" ";" ";"Aarhus";3907;4173;4129;3892;3442;3596;3630;2272;2070;2139;2096;2023
" ";" ";" ";" ";" ";"Ikast-Brande";3268;3819;2865;3208;3107;3227;2912;3275;2121;2995;2867;2832
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";10117;10679;11058;10515;10916;9740;10182;10754;10395;10310;10461;10370
" ";" ";" ";" ";" ";"Hedensted";2296;2157;2300;1957;1745;1989;1686;2028;1937;1459;1833;1825
" ";" ";" ";" ";" ";"Morsø";2279;2406;2375;2232;2400;2069;2233;2028;2269;2134;2178;2155
" ";" ";" ";" ";" ";"Skive";5507;5597;5425;5145;4803;5370;5622;4622;6845;5289;5807;5757
" ";" ";" ";" ";" ";"Thisted";5638;6556;5787;5996;5788;5648;5812;5697;6002;7382;6904;6826
" ";" ";" ";" ";" ";"Viborg";10364;9917;9791;10447;10458;10022;9750;11321;10090;11335;11035;10909
" ";" ";" ";" ";" ";"Brønderslev";3188;3733;2840;3081;3068;3593;4375;3375;3318;3222;3342;3302
" ";" ";" ";" ";" ";"Frederikshavn";2631;2649;3619;2501;2046;2185;1925;2932;3036;3101;3019;2935
" ";" ";" ";" ";" ";"Vesthimmerlands";8406;8507;8704;9137;9331;9221;9640;8368;7785;7655;8020;7958
" ";" ";" ";" ";" ";"Læsø";220;182;209;218;300;194;149;196;274;175;211;210
" ";" ";" ";" ";" ";"Rebild";5178;5166;5305;5546;4980;5504;6067;5395;6473;5153;5754;5723
" ";" ";" ";" ";" ";"Mariagerfjord";5702;5725;5614;5339;5271;5641;6036;5720;4538;5575;5375;5191
" ";" ";" ";" ";" ";"Jammerbugt";4660;4939;4585;4966;5027;4718;4019;4861;5005;4671;4888;4843
" ";" ";" ";" ";" ";"Aalborg";7086;6852;7351;9499;8779;9009;9307;8864;7513;7234;7370;7251
" ";" ";" ";" ";" ";"Hjørring";9151;9007;8571;8854;9279;8692;7584;9085;10029;9699;9608;9491
" ";" ";" ";" ";"GWP (CO2-ækvivalenter)"
" ";" ";" ";" ";" ";"København";3345437;3406061;3303868;3471152;3099630;3023394;3216348;3224109;2887845;3094972;2764213;2468244
" ";" ";" ";" ";" ";"Frederiksberg";164144;174686;144591;132835;139565;130727;123306;120949;121561;119671;136608;133046
" ";" ";" ";" ";" ";"Ballerup";199203;201143;195220;205525;205485;186749;182002;190065;198100;190495;201008;186766
" ";" ";" ";" ";" ";"Brøndby";162846;165259;163743;165271;181721;205168;224572;287768;296628;275801;288085;274241
" ";" ";" ";" ";" ";"Dragør";56697;56830;57422;45505;44988;44445;43634;42351;41619;41352;42382;37673
" ";" ";" ";" ";" ";"Gentofte";225116;231238;228917;255371;251484;241727;221924;211664;209990;211456;216942;192728
" ";" ";" ";" ";" ";"Gladsaxe";345495;358662;341356;352896;365252;381504;341584;361989;382355;293983;415491;387634
" ";" ";" ";" ";" ";"Glostrup";230603;230666;225016;222070;259636;255857;285175;253278;265788;251746;252138;239152
" ";" ";" ";" ";" ";"Herlev";119641;122858;118672;123859;125208;120644;82681;91746;76685;75616;80875;71351
" ";" ";" ";" ";" ";"Albertslund";88100;87183;83029;83195;85746;78822;76290;84504;88192;104412;103078;91005
" ";" ";" ";" ";" ";"Hvidovre";1509253;1826723;2549606;2365853;2687984;1913036;2971759;2305484;2139392;2051377;2004788;1955734
" ";" ";" ";" ";" ";"Høje-Taastrup";405553;406252;386344;380593;429239;390216;466175;605283;605758;442123;604880;582181
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";277906;287265;275901;273373;289442;285902;298695;286734;262969;242812;212523;194091
" ";" ";" ";" ";" ";"Rødovre";98941;99892;98143;99952;100439;97849;95671;100766;101270;98518;101039;94248
" ";" ";" ";" ";" ";"Ishøj";54464;54117;55635;57130;58301;56483;55231;129487;105145;99152;110469;105548
" ";" ";" ";" ";" ";"Tårnby";199819;194847;188416;196732;191692;181421;186255;243012;242159;227434;220356;184787
" ";" ";" ";" ";" ";"Vallensbæk";42245;43381;42409;34550;33360;36488;36707;36167;32630;30293;32317;29652
" ";" ";" ";" ";" ";"Furesø";105714;110551;106450;110785;111375;110352;102382;100971;105119;101514;104913;93916
" ";" ";" ";" ";" ";"Allerød";109608;111294;107776;107811;110048;104099;103254;116051;113979;114879;106087;98315
" ";" ";" ";" ";" ";"Fredensborg";177555;166994;167089;169559;166167;152263;148841;146550;138343;132776;132336;125603
" ";" ";" ";" ";" ";"Helsingør";295158;309639;300185;290511;291202;281170;269915;266359;268177;254038;290557;250137
" ";" ";" ";" ";" ";"Hillerød";354569;366646;347511;344384;344533;317321;327803;297017;274298;286961;323814;287595
" ";" ";" ";" ";" ";"Hørsholm";121154;120394;115388;118156;110857;109708;108830;99644;100368;99484;95837;86779
" ";" ";" ";" ";" ";"Rudersdal";409985;419068;411307;429634;472217;512562;528661;597290;598697;557118;557814;510629
" ";" ";" ";" ";" ";"Egedal";162380;167565;167637;169939;168621;165881;161410;158883;153555;158412;158780;143054
" ";" ";" ";" ";" ";"Frederikssund";456292;505239;518233;607509;494074;493935;507794;374414;337334;349642;357813;325909
" ";" ";" ";" ";" ";"Greve";178706;184713;179765;183342;184462;177624;174787;184235;180539;180771;192645;178162
" ";" ";" ";" ";" ";"Køge";470250;556957;542753;457730;435798;462583;448169;468836;475901;430661;462751;439493
" ";" ";" ";" ";" ";"Halsnæs";199377;198570;145108;169079;163732;174861;182881;190390;193218;145726;156567;159301
" ";" ";" ";" ";" ";"Roskilde";360988;363743;353840;356743;356017;341279;337468;344566;353292;408498;367405;329066
" ";" ";" ";" ";" ";"Solrød";72909;76377;75147;73952;73457;70954;69379;70445;72448;64696;65951;61141
" ";" ";" ";" ";" ";"Gribskov";229167;284861;215610;225791;233635;230741;229952;243549;232829;217559;223188;213100
" ";" ";" ";" ";" ";"Odsherred";218033;223867;221205;228307;227296;216138;204149;208378;208519;203256;208635;200448
" ";" ";" ";" ";" ";"Holbæk";446710;456280;451555;446147;446861;428485;419968;426179;435633;401526;422379;397887
" ";" ";" ";" ";" ";"Faxe";295121;297341;395941;370467;376065;375515;381841;402464;366545;310086;316199;319843
" ";" ";" ";" ";" ";"Kalundborg";5183281;4754370;4089614;5479868;3476495;4140630;5957902;4962370;3935699;3867769;3167448;2757808
" ";" ";" ";" ";" ";"Ringsted";229750;235058;237708;232172;229551;212652;218969;213698;186811;211097;200816;187787
" ";" ";" ";" ";" ";"Slagelse";1739524;1334807;1713657;2915757;1744801;1382565;2618197;1712271;1282500;745086;652008;479612
" ";" ";" ";" ";" ";"Stevns";201376;207445;203597;196756;191047;186762;179422;173214;173696;152942;159080;149180
" ";" ";" ";" ";" ";"Sorø";214077;217522;221661;219537;225086;205108;189661;189487;192916;190051;191065;180874
" ";" ";" ";" ";" ";"Lejre";155073;155177;156638;176062;156289;153684;154676;199637;180870;154817;159033;151652
" ";" ";" ";" ";" ";"Lolland";544624;543025;533150;560187;574015;560244;553349;574198;624238;529530;529591;545674
" ";" ";" ";" ";" ";"Næstved";617612;601865;596902;592951;585676;562490;544874;543176;549992;521476;536764;509356
" ";" ";" ";" ";" ";"Guldborgsund";545282;534591;550046;574358;571878;537960;529073;546974;601610;553324;556344;561357
" ";" ";" ";" ";" ";"Vordingborg";399597;394112;402690;401370;400000;396066;381301;371932;346021;334757;336131;325978
" ";" ";" ";" ";" ";"Bornholm";410265;398933;394201;364941;370888;353521;355657;341418;330063;345552;346549;310304
" ";" ";" ";" ";" ";"Middelfart";280743;326913;311437;337442;361663;358919;357911;348457;346307;280578;299150;291619
" ";" ";" ";" ";" ";"Assens";478892;482612;478264;490999;489787;470094;433710;424723;443964;357533;389910;379897
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";551383;573736;553519;545445;548006;524043;499834;523868;517506;460984;483061;454322
" ";" ";" ";" ";" ";"Kerteminde";189678;193292;183196;190720;184686;177193;181867;190017;188856;174564;173289;168036
" ";" ";" ";" ";" ";"Nyborg";372148;352614;342437;331311;399524;307103;286938;304296;283778;280984;271398;265563
" ";" ";" ";" ";" ";"Odense";2278575;2313694;2223117;2279838;2428133;2241992;2411112;2132328;2361780;2317327;2411373;1728589
" ";" ";" ";" ";" ";"Svendborg";382829;407564;388603;390349;407940;388902;374341;361395;326878;338589;328972;321902
" ";" ";" ";" ";" ";"Nordfyns";328462;339154;340756;334596;330936;333270;312684;306253;288622;300580;301827;288802
" ";" ";" ";" ";" ";"Langeland";137855;138477;134075;132717;125048;124687;119528;120973;139895;129316;127217;125040
" ";" ";" ";" ";" ";"Ærø";69457;70904;69787;66154;61762;56744;53432;55060;37397;58370;50612;49085
" ";" ";" ";" ";" ";"Haderslev";662707;643181;646499;619112;632889;622641;568474;550002;553360;528323;542530;524430
" ";" ";" ";" ";" ";"Billund";388803;405909;384655;384196;386921;365726;296372;291099;279078;274649;274193;263829
" ";" ";" ";" ";" ";"Sønderborg";756451;690890;700066;720533;857336;693771;702942;697057;686133;597055;610800;598256
" ";" ";" ";" ";" ";"Tønder";857166;885398;880449;850752;868489;872614;844341;746166;737800;675350;711366;690200
" ";" ";" ";" ";" ";"Esbjerg";2450087;2805146;2688462;2943203;2550501;2517163;2983799;2788384;1978608;2134544;2120569;2913160
" ";" ";" ";" ";" ";"Fanø";8676;11402;10037;8855;8061;8637;9200;7406;10175;7997;8405;8386
" ";" ";" ";" ";" ";"Varde";725248;736912;713085;711720;724268;704308;697593;673407;654832;652676;634410;620805
" ";" ";" ";" ";" ";"Vejen";516949;523605;518384;531657;530272;521185;503804;535588;506750;532608;530409;502128
" ";" ";" ";" ";" ";"Aabenraa";4126567;4104609;4435624;4313641;3614390;1861019;3249265;2983442;3492910;2910024;3374706;2092504
" ";" ";" ";" ";" ";"Fredericia";2001964;2087869;1987434;2513541;1689196;1373514;1740874;1242023;1420883;1762204;1631639;1455202
" ";" ";" ";" ";" ";"Horsens";635869;654044;634256;648828;633930;619595;629180;581329;576540;578845;597075;556378
" ";" ";" ";" ";" ";"Kolding";793572;802489;792628;783980;797289;735738;758828;612290;578448;531336;545680;524145
" ";" ";" ";" ";" ";"Vejle";1074869;950928;924608;941266;956565;944597;930274;729734;754732;715869;692933;659765
" ";" ";" ";" ";" ";"Herning";925195;947882;834041;800733;760409;750589;730084;756769;761975;729041;737971;730988
" ";" ";" ";" ";" ";"Holstebro";519571;545591;537225;527393;536086;517602;500370;490027;516698;481591;492958;472245
" ";" ";" ";" ";" ";"Lemvig";560458;567844;543342;528390;515863;498427;499165;457613;503606;467117;496531;479482
" ";" ";" ";" ";" ";"Struer";182854;177218;196244;181695;170097;169194;158129;177744;147991;169231;164658;157410
" ";" ";" ";" ";" ";"Syddjurs";307696;300034;308824;307830;304811;302510;279215;272004;265105;255105;253694;250400
" ";" ";" ";" ";" ";"Norddjurs";588391;591944;548721;535779;566618;531519;516011;381044;390730;381533;378636;381175
" ";" ";" ";" ";" ";"Favrskov";449464;435752;432015;426531;435151;447730;455246;429432;391060;344569;353741;340484
" ";" ";" ";" ";" ";"Odder";150295;139147;138222;134746;131729;135358;135497;135849;118850;125933;123188;119008
" ";" ";" ";" ";" ";"Randers";978230;1008424;982924;955098;1050714;943583;883333;734324;674909;580803;577460;537545
" ";" ";" ";" ";" ";"Silkeborg";809501;822971;807326;787856;786741;783354;817966;913740;958488;978615;971770;918391
" ";" ";" ";" ";" ";"Samsø";48600;51442;49879;46951;45150;44799;44193;44287;48882;43066;43920;42995
" ";" ";" ";" ";" ";"Skanderborg";283653;328116;308282;314536;308483;306949;298596;310343;302374;275484;281304;272798
" ";" ";" ";" ";" ";"Aarhus";2481617;3297472;3340406;3716464;3340224;3032059;3935315;3264755;3765701;3677783;3390750;3254096
" ";" ";" ";" ";" ";"Ikast-Brande";390346;410313;375739;368023;372666;376000;361704;398256;350651;386479;400648;375955
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";928653;962911;966624;941680;946516;909055;874037;855808;851171;778076;812773;780381
" ";" ";" ";" ";" ";"Hedensted";582747;580853;574911;583745;595919;601972;611386;471646;491198;452600;490495;475970
" ";" ";" ";" ";" ";"Morsø";297603;307449;303814;305386;301707;286701;289556;296033;297684;283127;306009;287664
" ";" ";" ";" ";" ";"Skive";576651;590064;581488;582450;576368;563999;564025;560235;586101;508788;545698;522610
" ";" ";" ";" ";" ";"Thisted";618189;639981;606594;616514;610293;608328;583920;564152;571955;564831;570859;545844
" ";" ";" ";" ";" ";"Viborg";1081622;1066017;1046801;1049704;1090883;1094389;1074102;1087981;976783;979315;1001646;972168
" ";" ";" ";" ";" ";"Brønderslev";332759;349948;329452;331836;338378;359474;372613;341693;340827;313328;325110;316824
" ";" ";" ";" ";" ";"Frederikshavn";601352;597316;594077;517033;515802;498087;500988;531690;549173;521099;548455;529433
" ";" ";" ";" ";" ";"Vesthimmerlands";610323;624325;622927;616391;623438;626268;638981;484280;483525;443868;457057;442599
" ";" ";" ";" ";" ";"Læsø";22799;21221;22296;21600;22103;21388;20207;20818;21398;19810;21160;19989
" ";" ";" ";" ";" ";"Rebild";352724;356813;356181;360183;350053;361535;367865;338319;369207;321024;342141;332059
" ";" ";" ";" ";" ";"Mariagerfjord";801832;811055;792914;793591;781974;798694;759679;673586;555574;517106;589250;509443
" ";" ";" ";" ";" ";"Jammerbugt";450946;470944;450483;454114;458887;450767;424885;451804;441803;440552;447997;429247
" ";" ";" ";" ";" ";"Aalborg";5077577;5372183;5144333;6377319;5387503;5300216;6065625;6592783;5100270;4954844;5343595;4379856
" ";" ";" ";" ";" ";"Hjørring";777147;775180;754703;733691;717234;666789;633445;657618;654958;626635;639243;675583

"Den faktiske udledning af drivhusgasser henfører udledningen til "
"kommuner og regioner, hvor udledningen rent faktisk har fundet sted. "
"I opgørelsen af bruttoudledningen er der korrigeret sådan, at "
"energiforsyningens udledning henføres til de kommuner og regioner, "
"hvor forbruget af deres produkter, fx el og fjernvarme, finder sted.  "
"Udledning pr. indbygger er opgjort i kg. Udledning pr. mio. kr. "
"bruttoværditilvækst er opgjort i ton pr. mio. kr for CO2 og GWP og i "
"kg pr. mio. kr for N2O og CH4. "

